Dates ,Campaign Description
2020-06-14,SkinCare By hyram routine video
2020-06-21,SkinCare By hyram routine video
2020-06-28,SkinCare By hyram routine video
2021-01-17,Dr Shah- duet this with your cerave skincare
2021-01-24,Dr Shah- duet this with your cerave skincare
2021-01-31,Dr Shah- duet this with your cerave skincare
2021-02-07,Dr Shah- duet this with your cerave skincare
2021-02-14,Dr Shah- duet this with your cerave skincare
2023-01-29,Dr Shah introduces new cleanser
2023-02-05,Dr Shah introduces new cleanser
2023-05-21,Multiple magazines report olivia wild loves cerave 
2023-05-28,Multiple magazines report olivia wild loves cerave 
2023-07-09,cerave cleanse like a derm- Dr. Daniel Sugai
2023-07-10,cerave cleanse like a derm- Dr. Daniel Sugai
2023-07-16,cerave cleanse like a derm- Dr. Daniel Sugai
2023-07-23,cerave cleanse like a derm- Dr. Daniel Sugai
2023-07-30,cerave cleanse like a derm- Dr. Daniel Sugai
2023-07-14,cerave cleanse like a derm- Dr. Daniel Sugai
