Category: All categories

Week,curology: (United States)
2021-01-03,100
2021-01-10,90
2021-01-17,88
2021-01-24,92
2021-01-31,90
2021-02-07,88
2021-02-14,83
2021-02-21,93
2021-02-28,84
2021-03-07,74
2021-03-14,67
2021-03-21,81
2021-03-28,82
2021-04-04,77
2021-04-11,72
2021-04-18,72
2021-04-25,72
2021-05-02,63
2021-05-09,65
2021-05-16,62
2021-05-23,66
2021-05-30,69
2021-06-06,55
2021-06-13,61
2021-06-20,64
2021-06-27,68
2021-07-04,66
2021-07-11,76
2021-07-18,66
2021-07-25,65
2021-08-01,64
2021-08-08,62
2021-08-15,62
2021-08-22,65
2021-08-29,58
2021-09-05,57
2021-09-12,60
2021-09-19,66
2021-09-26,63
2021-10-03,62
2021-10-10,67
2021-10-17,59
2021-10-24,62
2021-10-31,70
2021-11-07,68
2021-11-14,66
2021-11-21,65
2021-11-28,73
2021-12-05,69
2021-12-12,70
2021-12-19,62
2021-12-26,70
2022-01-02,98
2022-01-09,84
2022-01-16,82
2022-01-23,79
2022-01-30,87
2022-02-06,84
2022-02-13,77
2022-02-20,77
2022-02-27,85
2022-03-06,72
2022-03-13,74
2022-03-20,74
2022-03-27,62
2022-04-03,67
2022-04-10,69
2022-04-17,73
2022-04-24,63
2022-05-01,62
2022-05-08,64
2022-05-15,67
2022-05-22,61
2022-05-29,61
2022-06-05,65
2022-06-12,58
2022-06-19,72
2022-06-26,73
2022-07-03,71
2022-07-10,63
2022-07-17,66
2022-07-24,70
2022-07-31,70
2022-08-07,60
2022-08-14,66
2022-08-21,58
2022-08-28,58
2022-09-04,52
2022-09-11,51
2022-09-18,52
2022-09-25,52
2022-10-02,55
2022-10-09,55
2022-10-16,49
2022-10-23,46
2022-10-30,48
2022-11-06,50
2022-11-13,53
2022-11-20,54
2022-11-27,48
2022-12-04,46
2022-12-11,50
2022-12-18,48
2022-12-25,58
2023-01-01,58
2023-01-08,63
2023-01-15,62
2023-01-22,61
2023-01-29,56
2023-02-05,59
2023-02-12,59
2023-02-19,65
2023-02-26,71
2023-03-05,68
2023-03-12,65
2023-03-19,57
2023-03-26,63
2023-04-02,65
2023-04-09,55
2023-04-16,54
2023-04-23,54
2023-04-30,55
2023-05-07,53
2023-05-14,52
2023-05-21,51
2023-05-28,57
2023-06-04,53
2023-06-11,52
2023-06-18,54
2023-06-25,54
2023-07-02,49
2023-07-09,45
2023-07-16,47
2023-07-23,48
2023-07-30,46
2023-08-06,41
2023-08-13,41
2023-08-20,41
2023-08-27,40
2023-09-03,34
2023-09-10,35
2023-09-17,39
2023-09-24,37
2023-10-01,35
2023-10-08,35
2023-10-15,36
2023-10-22,35
2023-10-29,40
2023-11-05,36
2023-11-12,35
2023-11-19,38
2023-11-26,41
2023-12-03,36
2023-12-10,37
